Participants,Hand,Day,Time,Quantity
A,L,1,1,0.06
B,L,1,1,0.04
C,L,1,1,0
D,L,1,1,5.1
E,L,1,1,0.08
F,L,1,1,0
G,L,1,1,2.06
H,L,1,1,1.04
J,L,1,1,0
K,L,1,1,0.13
A,R,1,1,0.03
B,R,1,1,0.56
C,R,1,1,0.11
D,R,1,1,1.94
E,R,1,1,0
F,R,1,1,0
G,R,1,1,0.82
H,R,1,1,1.65
J,R,1,1,0.05
K,R,1,1,0
A,L,1,2,0.05
B,L,1,2,0.16
C,L,1,2,0.2
D,L,1,2,7.5
E,L,1,2,0.33
F,L,1,2,0
G,L,1,2,0.1
H,L,1,2,3.48
J,L,1,2,0.11
K,L,1,2,0.2
A,R,1,2,0.1
B,R,1,2,0.19
C,R,1,2,1.06
D,R,1,2,2.22
E,R,1,2,0.09
F,R,1,2,0.05
G,R,1,2,0.03
H,R,1,2,1.56
J,R,1,2,0
K,R,1,2,0.15
A,L,1,3,0.1
B,L,1,3,0.23
C,L,1,3,0.42
D,L,1,3,8.2
E,L,1,3,0.04
F,L,1,3,0.05
G,L,1,3,0.86
H,L,1,3,3.96
J,L,1,3,0
K,L,1,3,0
A,R,1,3,0.09
B,R,1,3,0
C,R,1,3,0.49
D,R,1,3,2.54
E,R,1,3,0.04
F,R,1,3,0
G,R,1,3,0.94
H,R,1,3,0.53
J,R,1,3,0
K,R,1,3,0.09
A,L,2,1,0.05
B,L,2,1,0.36
C,L,2,1,0.76
D,L,2,1,7.85
E,L,2,1,0.5
F,L,2,1,0
G,L,2,1,0.06
H,L,2,1,4.4
J,L,2,1,0.3
K,L,2,1,0.14
A,R,2,1,0
B,R,2,1,0.11
C,R,2,1,1.44
D,R,2,1,1.71
E,R,2,1,0.05
F,R,2,1,0.03
G,R,2,1,0
H,R,2,1,2.4
J,R,2,1,0
K,R,2,1,0.92
A,L,2,2,0
B,L,2,2,0.3
C,L,2,2,0.73
D,L,2,2,2.1
E,L,2,2,0.51
F,L,2,2,0
G,L,2,2,1.04
H,L,2,2,1.42
J,L,2,2,0
K,L,2,2,0.18
A,R,2,2,0
B,R,2,2,0
C,R,2,2,0.62
D,R,2,2,1.6
E,R,2,2,0.1
F,R,2,2,0
G,R,2,2,0.69
H,R,2,2,0.73
J,R,2,2,0
K,R,2,2,0
A,L,2,3,0.29
B,L,2,3,0.2
C,L,2,3,0.21
D,L,2,3,3.15
E,L,2,3,0.11
F,L,2,3,0.45
G,L,2,3,1.18
H,L,2,3,0.77
J,L,2,3,0.09
K,L,2,3,0
A,R,2,3,0.18
B,R,2,3,0.11
C,R,2,3,0.63
D,R,2,3,1.12
E,R,2,3,0.09
F,R,2,3,0
G,R,2,3,0.22
H,R,2,3,2.77
J,R,2,3,0
K,R,2,3,0.47
A,L,3,1,0
B,L,3,1,0.12
C,L,3,1,4.44
D,L,3,1,7.84
E,L,3,1,0.17
F,L,3,1,0
G,L,3,1,0.33
H,L,3,1,1.47
J,L,3,1,0
K,L,3,1,0.04
A,R,3,1,0.08
B,R,3,1,0.17
C,R,3,1,0.57
D,R,3,1,38.2
E,R,3,1,0.13
F,R,3,1,0.04
G,R,3,1,0.24
H,R,3,1,3.26
J,R,3,1,0.05
K,R,3,1,0.12
A,L,3,2,0.09
B,L,3,2,0.93
C,L,3,2,0.09
D,L,3,2,4.98
E,L,3,2,0.6
F,L,3,2,0
G,L,3,2,0.09
H,L,3,2,0.52
J,L,3,2,0.1
K,L,3,2,0
A,R,3,2,0.003
B,R,3,2,0.45
C,R,3,2,0.34
D,R,3,2,3.39
E,R,3,2,0.54
F,R,3,2,0.04
G,R,3,2,0.66
H,R,3,2,2.16
J,R,3,2,0
K,R,3,2,1.37
A,L,3,3,0.12
B,L,3,3,0.71
C,L,3,3,0.96
D,L,3,3,4.46
E,L,3,3,0.25
F,L,3,3,0
G,L,3,3,0.29
H,L,3,3,1.36
J,L,3,3,0
K,L,3,3,0.19
A,R,3,3,0.32
B,R,3,3,0.36
C,R,3,3,0.71
D,R,3,3,1.11
E,R,3,3,0.23
F,R,3,3,0
G,R,3,3,0.52
H,R,3,3,0.79
J,R,3,3,0
K,R,3,3,0.36
A,L,4,1,0.08
B,L,4,1,0.19
C,L,4,1,0.52
D,L,4,1,2.77
E,L,4,1,0.91
F,L,4,1,0
G,L,4,1,0
H,L,4,1,2.41
J,L,4,1,0.6
K,L,4,1,2.57
A,R,4,1,0.11
B,R,4,1,0.05
C,R,4,1,0.47
D,R,4,1,0.85
E,R,4,1,0.52
F,R,4,1,0.07
G,R,4,1,0.2
H,R,4,1,0.86
J,R,4,1,0
K,R,4,1,0.05
A,L,4,2,0
B,L,4,2,0.28
C,L,4,2,0.43
D,L,4,2,2.77
E,L,4,2,0.09
F,L,4,2,0.3
G,L,4,2,0.31
H,L,4,2,1.87
J,L,4,2,0.005
K,L,4,2,0.13
A,R,4,2,0.18
B,R,4,2,0
C,R,4,2,0
D,R,4,2,3.79
E,R,4,2,0
F,R,4,2,0
G,R,4,2,0.22
H,R,4,2,0.54
J,R,4,2,0
K,R,4,2,0
A,L,4,3,0.49
B,L,4,3,0
C,L,4,3,0
D,L,4,3,1.82
E,L,4,3,0.35
F,L,4,3,0.05
G,L,4,3,0.19
H,L,4,3,0.39
J,L,4,3,0.07
K,L,4,3,0.44
A,R,4,3,0.12
B,R,4,3,0.13
C,R,4,3,0.26
D,R,4,3,3.17
E,R,4,3,0.08
F,R,4,3,0
G,R,4,3,0.67
H,R,4,3,1.29
J,R,4,3,0.11
K,R,4,3,1.38
