"Study","Operator","Textile","Hand","Repeat","Cell_DNA","Cell_free_DNA","Total_DNA","Textile_Group"
"D","Op1","Grey-blue","left","Rep1",0.0158970255870372,0.00764087448260398,0.0235379000696412,"Grey/Blue, woven"
"D","Op1","Grey-blue","left","Rep2",0.125096784904599,0.0452515215147287,0.170348306419328,"Grey/Blue, woven"
"D","Op1","Grey-blue","right","Rep1",0.0874240091070533,0.028497133316705,0.115921142423758,"Grey/Blue, woven"
"D","Op1","Yellow","left","Rep1",0.0403276819270104,0.00590867188293487,0.0462363538099453,"Yellow, knitted"
"D","Op1","Yellow","left","Rep2",0.249195545911789,0.0568286655470729,0.306024211458862,"Yellow, knitted"
"D","Op1","Yellow","right","Rep1",0.0196306982252281,0.0912756193429232,0.110906317568151,"Yellow, knitted"
"D","Op1","Yellow","right","Rep2",0.056941508082673,0.0855347746983171,0.14247628278099,"Yellow, knitted"
"D","Op2","Grey-blue","left","Rep1",1.35646998882294,0.0716709438711405,1.42814093269408,"Grey/Blue, woven"
"D","Op2","Grey-blue","left","Rep2",0.218946291133761,0.0380253465846181,0.256971637718379,"Grey/Blue, woven"
"D","Op2","Grey-blue","right","Rep1",0,0.127445813268423,0.127445813268423,"Grey/Blue, woven"
"D","Op2","Grey-blue","right","Rep2",0.283105811104178,0.0180882114606599,0.301194022564838,"Grey/Blue, woven"
"D","Op2","Yellow","left","Rep1",0.0165530160302296,0.0170160958805354,0.0335691119107651,"Yellow, knitted"
"D","Op2","Yellow","left","Rep2",0.0272411573678255,0.0165220850612968,0.0437632424291223,"Yellow, knitted"
"D","Op2","Yellow","right","Rep1",0.0231825702940114,0.0257650285493582,0.0489475988433696,"Yellow, knitted"
"D","Op2","Yellow","right","Rep2",0.0384138466324657,0,0.0384138466324657,"Yellow, knitted"
"D","Op3","Grey-blue","left","Rep2",0.00160126350237988,0,0.00160126350237988,"Grey/Blue, woven"
"D","Op3","Grey-blue","right","Rep1",0.0290073920041323,0,0.0290073920041323,"Grey/Blue, woven"
"D","Op3","Grey-blue","right","Rep2",0.0667217676527798,0.0277702743187547,0.0944920419715345,"Grey/Blue, woven"
"D","Op3","Yellow","left","Rep1",0.0910760858096182,0.148469861596823,0.239545947406441,"Yellow, knitted"
"D","Op3","Yellow","left","Rep2",0.0615404825657606,0,0.0615404825657606,"Yellow, knitted"
"D","Op3","Yellow","right","Rep1",0.127186384052038,0.0297890312504023,0.156975415302441,"Yellow, knitted"
"D","Op3","Yellow","right","Rep2",0.0321405264548957,0.00159766845172271,0.0337381949066184,"Yellow, knitted"
