"Study","Operator","Concentration","Hand","Repeat","Cell_DNA","Cell_free_DNA","Total_DNA"
"F","Op1","Average","L","Rep1",0.242796039674431,0.336032907944173,0.578828947618604
"F","Op1","Average","L","Rep2",0.104215636383742,0.177332462044433,0.281548098428175
"F","Op1","Average","L","Rep3",0.1444565015845,0.222511490574107,0.366967992158607
"F","Op1","Average","L","Rep4",0.164622848387808,0.231970293680206,0.396593142068014
"F","Op1","Average","L","Rep5",0.277798215392977,0.278370466548949,0.556168681941926
"F","Op1","Average","R","Rep1",0.382304831873626,0.311788450926542,0.694093282800168
"F","Op1","Average","R","Rep2",0.194394664140418,0.0684428654494695,0.262837529589888
"F","Op1","Average","R","Rep3",0.125503994058818,0.102279928978533,0.22778392303735
"F","Op1","Average","R","Rep4",0.246177590452135,0,0.246177590452135
"F","Op1","Average","R","Rep5",0.313276879023761,0.17020222148858,0.483479100512341
"F","Op1","High","L","Rep1",0.188902084482834,0.12882004812127,0.317722132604104
"F","Op1","High","L","Rep2",0.106428448634688,0.0529225217178464,0.159350970352534
"F","Op1","High","L","Rep3",0.470175337977707,0.389153126161546,0.859328464139253
"F","Op1","High","L","Rep5",0.197733170352876,0.501454051118344,0.69918722147122
"F","Op1","High","L","Rep4",0,0.0875973579240963,0.0875973579240963
"F","Op1","High","R","Rep1",0.565856241155416,0.455264700576663,1.02112094173208
"F","Op1","High","R","Rep2",0.361738668289036,0.332419411279261,0.694158079568297
"F","Op1","High","R","Rep3",0.530592608265579,0.442559097427875,0.973151705693454
"F","Op1","High","R","Rep4",0.12401138083078,0.254637998295948,0.378649379126728
"F","Op1","High","R","Rep5",0.251999357715249,0.186463806312531,0.43846316402778
"F","Op2","Average","L","Rep1",0.109053961932659,0.143251282861456,0.252305244794115
"F","Op2","Average","L","Rep2",0.0605901950621046,0.229884366854094,0.290474561916199
"F","Op2","Average","L","Rep3",0.650869798846543,0.470809207763523,1.12167900661007
"F","Op2","Average","L","Rep4",1.45768569782376,0.982675701379776,2.44036139920354
"F","Op2","Average","L","Rep5",0.306806623120792,0.134422589326277,0.44122921244707
"F","Op2","Average","R","Rep1",0.0729499151930213,0.106126790342387,0.179076705535408
"F","Op2","Average","R","Rep2",0.465683243237436,0.151001499034464,0.6166847422719
"F","Op2","Average","R","Rep3",0.682428176514804,0.213166086177807,0.895594262692612
"F","Op2","Average","R","Rep4",1.43215204589069,0.557172205299139,1.98932425118983
"F","Op2","Average","R","Rep5",0.296851911116391,0.310783775057644,0.607635686174035
"F","Op2","Low","L","Rep2",0.157643365673721,0,0.157643365673721
"F","Op2","Low","L","Rep3",0.0404921796871349,0,0.0404921796871349
"F","Op2","Low","L","Rep4",0.0761171453632414,0.067296763882041,0.143413909245282
"F","Op2","Low","L","Rep5",0,0.0873611017595977,0.0873611017595977
"F","Op2","Low","R","Rep1",0.0503238523378968,0,0.0503238523378968
"F","Op2","Low","R","Rep2",0.0841988512547687,0.0540144217666239,0.138213273021393
"F","Op2","Low","R","Rep3",0.0419063297158573,0,0.0419063297158573
"F","Op2","Low","R","Rep4",0.0309083494357765,0,0.0309083494357765
"F","Op3","High","L","Rep1",0.0953242750256322,0.093836883752374,0.189161158778006
"F","Op3","High","L","Rep2",0.191352656111121,0.303166269441135,0.494518925552256
"F","Op3","High","L","Rep3",0.314579764381051,0.112383376108482,0.426963140489534
"F","Op3","High","L","Rep4",0.227586302207783,0.32959480304271,0.557181105250493
"F","Op3","High","L","Rep5",0.134512525983155,0.111684534931555,0.24619706091471
"F","Op3","High","R","Rep1",0.563209992833436,0.115696678403765,0.6789066712372
"F","Op3","High","R","Rep2",0.17615394317545,0.109534521470778,0.285688464646228
"F","Op3","High","R","Rep3",0.1310245890636,0.103221391327679,0.234245980391279
"F","Op3","High","R","Rep4",0.246415386209264,0.3072454710491,0.553660857258365
"F","Op3","High","R","Rep5",0.28693558415398,0.134982669260353,0.421918253414333
"F","Op3","Low","L","Rep1",0.108649500180036,0.0397268537199125,0.148376353899948
"F","Op3","Low","L","Rep3",0.0767142904805951,0.114865350769833,0.191579641250428
"F","Op3","Low","L","Rep4",0.0784596777521074,0.122287450358272,0.200747128110379
"F","Op3","Low","L","Rep5",0.0559069056180306,0,0.0559069056180306
"F","Op3","Low","L","Rep2",0,0.0649687310215086,0.0649687310215086
"F","Op3","Low","R","Rep1",0.120914517901838,0,0.120914517901838
"F","Op3","Low","R","Rep2",0.0281882705166936,0,0.0281882705166936
"F","Op3","Low","R","Rep3",0.0706322563928552,0,0.0706322563928552
"F","Op3","Low","R","Rep5",0.10294810635969,0,0.10294810635969
