"Study","Operator","Concentration","Hand","Repeat","Cell_DNA","Cell_free_DNA","Total_DNA"
"G","Op1","Average","Left","Rep1",0.0620212143985555,0.0996323389699683,0.161653553368524
"G","Op1","Average","Left","Rep3",0.0290165597107261,0.0660298726870678,0.095046432397794
"G","Op1","Average","Left","Rep4",0.0569332391023636,0.172191523597576,0.229124762699939
"G","Op1","Average","Left","Rep5",0.0755292130634189,0.0947608263231814,0.1702900393866
"G","Op1","Average","Left","Rep2",0,0.0521203935022641,0.0521203935022641
"G","Op1","Average","Right","Rep1",0.0241113200900145,0,0.0241113200900145
"G","Op1","Average","Right","Rep2",0.0890348019311205,0.0588360038818792,0.147870805813
"G","Op1","Average","Right","Rep3",0.109718227759004,0.000986763643595623,0.110704991402599
"G","Op1","Average","Right","Rep4",0.216225429903716,0.0860943895531818,0.302319819456898
"G","Op1","Average","Right","Rep5",0.148538628127426,0.138177582994103,0.286716211121529
"G","Op1","High","Left","Rep2",0.0612168136285618,0.181099883047864,0.242316696676426
"G","Op1","High","Left","Rep4",0.0441483542090282,0.0302183099847753,0.0743666641938034
"G","Op1","High","Left","Rep5",0.0982331854174845,0.0842514273244888,0.182484612741973
"G","Op1","High","Left","Rep1",0,0.0879735132912174,0.0879735132912174
"G","Op1","High","Left","Rep3",0,0.0377182353986427,0.0377182353986427
"G","Op1","High","Right","Rep1",0.0646567277726717,0.0345775231835432,0.099234250956215
"G","Op1","High","Right","Rep2",0.0813924067188054,0.102635624352843,0.184028031071648
"G","Op1","High","Right","Rep3",0.0141080206958577,0.0533746133442037,0.0674826340400614
"G","Op1","High","Right","Rep4",0.0235332743613981,0.0238440799876116,0.0473773543490097
"G","Op1","High","Right","Rep5",0.0371496920706704,0,0.0371496920706704
"G","Op2","Average","Left","Rep1",0.028671690961346,0.0301186024444178,0.0587902934057638
"G","Op2","Average","Left","Rep2",0.0348532863426954,0.0104568665847182,0.0453101529274136
"G","Op2","Average","Left","Rep3",0.0691415945766494,0.0117084848170634,0.0808500793937128
"G","Op2","Average","Left","Rep4",0.0247808166022878,0,0.0247808166022878
"G","Op2","Average","Left","Rep5",0.0242573529249057,0.00999618969217408,0.0342535426170798
"G","Op2","Average","Right","Rep3",0.0446222082246095,0,0.0446222082246095
"G","Op2","Average","Right","Rep5",0.0127238337881863,0.0451279949629679,0.0578518287511542
"G","Op2","Average","Right","Rep1",0,0.00796344829723239,0.00796344829723239
"G","Op2","Average","Right","Rep2",0,0.00852693774504587,0.00852693774504587
"G","Op2","Average","Right","Rep4",0,0.0395600749470759,0.0395600749470759
"G","Op2","Low","Right","Rep1",0,0.0630940310657024,0.0630940310657024
"G","Op2","Low","Right","Rep2",0,0.00104215023384313,0.00104215023384313
"G","Op3","High","Left","Rep1",1.85889108106494,0.49117507878691,2.35006615985185
"G","Op3","High","Left","Rep2",0.138951363624074,0.182210688944906,0.32116205256898
"G","Op3","High","Left","Rep3",0.433699472341686,0,0.433699472341686
"G","Op3","High","Left","Rep4",0.084639128181152,0.0320545892463997,0.116693717427552
"G","Op3","High","Left","Rep5",0.225508771836758,0.169160217046738,0.394668988883495
"G","Op3","High","Right","Rep1",0.0925577798625454,0.259764527436346,0.352322307298891
"G","Op3","High","Right","Rep2",0.0989124004263431,0.121402618242428,0.220315018668771
"G","Op3","High","Right","Rep3",0.0501951086334884,0.0241763074882329,0.0743714161217213
"G","Op3","High","Right","Rep5",0.0628868016065098,0.185426598181948,0.248313399788458
"G","Op3","High","Right","Rep4",0,0.0306388072203845,0.0306388072203845
"G","Op3","Low","Left","Rep1",0.129222703981213,0.0719650066457689,0.201187710626982
"G","Op3","Low","Left","Rep2",0.0549778982531279,0,0.0549778982531279
"G","Op3","Low","Left","Rep3",0.100524487788789,0,0.100524487788789
"G","Op3","Low","Left","Rep4",0.0523679103935137,0.0326689361827448,0.0850368465762585
"G","Op3","Low","Left","Rep5",0.0509045843500644,0.0462646741652861,0.0971692585153505
"G","Op3","Low","Right","Rep1",0.00217906726902584,0,0.00217906726902584
"G","Op3","Low","Right","Rep2",0.0992048138868995,0.0368279259419069,0.136032739828806
"G","Op3","Low","Right","Rep3",0.0259108026511967,0.0150603795191273,0.040971182170324
"G","Op3","Low","Right","Rep4",0.174946250626817,0.057042867410928,0.231989118037745
"G","Op3","Low","Right","Rep5",0.086384714813903,0.106506168958731,0.192890883772634
