"Study","Operator","Finger","Repeat","Cell_DNA","Cell_free_DNA","Total_DNA"
"L","Op1","Index","Rep1",0.816316343843937,0.665643811225891,1.48196015506983
"L","Op1","Index","Rep2",0.391381187364459,0.783096812665462,1.17447800002992
"L","Op1","Little","Rep1",0.823845528066158,0.432677986100316,1.25652351416647
"L","Op1","Little","Rep2",1.33462413214147,1.39595973305404,2.73058386519551
"L","Op1","Middle","Rep1",1.11305215395987,1.55927715823054,2.67232931219041
"L","Op1","Middle","Rep2",2.39022970199585,1.64925861172378,4.03948831371963
"L","Op1","Ring","Rep1",0.69396635517478,1.62370158359408,2.31766793876886
"L","Op1","Ring","Rep2",1.65094928815961,2.06097746267915,3.71192675083876
"L","Op1","Thumb","Rep1",0.188210105989128,0.206165126292035,0.394375232281163
"L","Op1","Thumb","Rep2",0.511477794498205,0.465195468859747,0.976673263357952
"L","Op2","Index","Rep1",1.04258009232581,1.31323919631541,2.35581928864121
"L","Op2","Index","Rep2",1.377247646451,1.59749062731862,2.97473827376962
"L","Op2","Little","Rep1",2.94999983161688,0.970851257443428,3.92085108906031
"L","Op2","Little","Rep2",0.776588590815663,0.43995741289109,1.21654600370675
"L","Op2","Middle","Rep1",1.83963617309928,1.55845070257783,3.39808687567711
"L","Op2","Middle","Rep2",0.0759163274778984,0.156895484542474,0.232811812020373
"L","Op2","Ring","Rep1",0.096617653616704,0,0.096617653616704
"L","Op2","Ring","Rep2",0.251780031248927,0.385174085386097,0.636954116635025
"L","Op2","Thumb","Rep1",0.144264724804088,0.0117749434139114,0.156039668218
"L","Op2","Thumb","Rep2",0.0862267625052482,0.209716378594749,0.295943141099997
"L","Op3","Index","Rep1",0.24105366319418,0.366921164095402,0.607974827289581
"L","Op3","Index","Rep2",0.0984398880973458,0,0.0984398880973458
"L","Op3","Little","Rep1",0.399099395144731,0.381845980882645,0.780945376027375
"L","Op3","Little","Rep2",0.317303638439626,0.390796817373484,0.70810045581311
"L","Op3","Middle","Rep1",0.822354340925813,0.520671694539487,1.3430260354653
"L","Op3","Middle","Rep2",0.457322271540761,0.400264537893236,0.857586809433997
"L","Op3","Ring","Rep1",0.490481592714787,0.361211132258177,0.851692724972963
"L","Op3","Ring","Rep2",0.536492839455605,0.844089407473803,1.38058224692941
"L","Op3","Thumb","Rep1",0.167140667326748,0.192258600145578,0.359399267472327
"L","Op3","Thumb","Rep2",0.214985670754686,0.193400628631935,0.408386299386621
