"Study","Operator","Concentration","Hand","Repeat","Cell_DNA","Cell_free_DNA","Total_DNA"
"P","Op1","Average","L","Rep1",0.33986548660323,0.0918542325962335,0.431719719199464
"P","Op1","Average","L","Rep2",0.212018209276721,0.0801971764303744,0.292215385707095
"P","Op1","Average","L","Rep3",0.152586086187512,0.0587114889640361,0.211297575151548
"P","Op1","Average","L","Rep4",0.118898571236059,0.0660301622701809,0.18492873350624
"P","Op1","Average","L","Rep5",0.11400735238567,0.110764743294567,0.224772095680237
"P","Op1","Average","R","Rep1",0.0941663660341874,0,0.0941663660341874
"P","Op1","Average","R","Rep2",0.25656238431111,0.0501807677210309,0.306743152032141
"P","Op1","Average","R","Rep3",0.236290681641549,0.0931200222112238,0.329410703852773
"P","Op1","Average","R","Rep4",0.137605119380169,0.11834917095257,0.255954290332738
"P","Op1","Average","R","Rep5",0.287695578299463,0.0568779825698584,0.344573560869321
"P","Op1","High","L","Rep1",1.17990793660283,1.15386196412146,2.33376990072429
"P","Op1","High","L","Rep2",1.54615682549775,0.544128962792456,2.0902857882902
"P","Op1","High","L","Rep3",0.794040877372026,0.322607601992786,1.11664847936481
"P","Op1","High","L","Rep4",1.09670399688184,0.365764263551682,1.46246826043352
"P","Op1","High","L","Rep5",0.295573414769024,0.0851188146043569,0.380692229373381
"P","Op1","High","R","Rep1",1.0547170881182,0.940805720165372,1.99552280828357
"P","Op1","High","R","Rep2",0.755909038707614,0.508358783554286,1.2642678222619
"P","Op1","High","R","Rep3",1.12034305930138,0.257835487718694,1.37817854702007
"P","Op1","High","R","Rep4",0.683050765655935,0.330062839202583,1.01311360485852
"P","Op1","High","R","Rep5",0.656044180504978,0.174783184775151,0.830827365280129
"P","Op2","Average","L","Rep1",0.238944450393319,0.0910833332454786,0.330027783638798
"P","Op2","Average","L","Rep2",0.0933793227886781,0.141185254324228,0.234564577112906
"P","Op2","Average","L","Rep3",0.0542029723874293,0.0811253674328327,0.135328339820262
"P","Op2","Average","L","Rep4",0.144292216282338,0.0677559059113264,0.212048122193664
"P","Op2","Average","L","Rep5",0.17929958703462,0.0599328195676208,0.239232406602241
"P","Op2","Average","R","Rep2",0.499221542850137,0.169191294116899,0.668412836967036
"P","Op2","Average","R","Rep3",0.243147043511271,0.264636985957623,0.507784029468894
"P","Op2","Average","R","Rep4",0.376351433806121,0.249422073829919,0.62577350763604
"P","Op2","Average","R","Rep5",0.0755024200771004,0.116096239071339,0.19159865914844
"P","Op2","Low","L","Rep2",0.0984350452199578,0.0622462655883282,0.160681310808286
"P","Op2","Low","L","Rep3",0.0554514321265742,0,0.0554514321265742
"P","Op2","Low","L","Rep4",0.0652704562526196,0,0.0652704562526196
"P","Op2","Low","L","Rep1",0,0.0565703026950359,0.0565703026950359
"P","Op2","Low","R","Rep2",0.0206516298931092,0,0.0206516298931092
"P","Op2","Low","R","Rep4",0.0927081913687289,0.00134194297061185,0.0940501343393407
"P","Op2","Low","R","Rep1",0,0.0265448790742084,0.0265448790742084
"P","Op2","Low","R","Rep5",0,0.0512247876031324,0.0512247876031324
"P","Op3","High","L","Rep1",0.329122261609882,0.428275752346963,0.757398013956845
"P","Op3","High","L","Rep2",0.971500668674707,0.514242146164179,1.48574281483889
"P","Op3","High","L","Rep3",0.0630988070042804,0.209198403172195,0.272297210176475
"P","Op3","High","L","Rep4",0.820040283724666,0.453478749841452,1.27351903356612
"P","Op3","High","L","Rep5",1.24273812398314,0.562489288859069,1.80522741284221
"P","Op3","High","R","Rep1",0.427121319808066,0.18052042578347,0.607641745591536
"P","Op3","High","R","Rep2",0.65397322177887,0.396440434269607,1.05041365604848
"P","Op3","High","R","Rep3",0.198920594993979,0.204952614149079,0.403873209143057
"P","Op3","High","R","Rep4",1.23955765739083,0.683381501585245,1.92293915897608
"P","Op3","High","R","Rep5",1.07722640968859,0.114909827243537,1.19213623693213
"P","Op3","Low","L","Rep1",0.0429079431341961,0.132950471015647,0.175858414149843
"P","Op3","Low","L","Rep2",0.111421308247373,0.0822051311843097,0.193626439431682
"P","Op3","Low","L","Rep3",0.0867702474351972,0.203995150513947,0.290765397949144
"P","Op3","Low","L","Rep4",0.0143321944051422,0,0.0143321944051422
"P","Op3","Low","L","Rep5",0.089184612443205,0.124747309018858,0.213931921462063
"P","Op3","Low","R","Rep1",0.0477575173135847,0.0907573674339801,0.138514884747565
"P","Op3","Low","R","Rep2",0.0695940922014415,0,0.0695940922014415
"P","Op3","Low","R","Rep3",0.0371407762941089,0.0109856453491375,0.0481264216432464
"P","Op3","Low","R","Rep4",0.0242079244344495,0.0909199850866571,0.115127909521107
"P","Op3","Low","R","Rep5",0.0745521349017508,0.0527928175870329,0.127344952488784
