"Study","Operator","Finger","Repeat","Cell_DNA","Cell_free_DNA","Total_DNA"
"TF","A","Index","Rep1",0.170469464501366,0.811817334033549,0.982286798534915
"TF","A","Index","Rep2",0.175857180147432,0.181149962008931,0.357007142156363
"TF","A","Index","Rep3",0.105493344017304,0.557090132497251,0.662583476514556
"TF","A","Index","Rep4",0.0580263935262337,0.302768487017602,0.360794880543835
"TF","A","Middle","Rep1",0.111527545959689,0.500152679160237,0.611680225119926
"TF","A","Middle","Rep2",0.1422825967893,0.722279073670506,0.864561670459807
"TF","A","Middle","Rep3",0.344477349426597,0.914150825701654,1.25862817512825
"TF","A","Middle","Rep4",0.0728524115402251,0.368744821753353,0.441597233293578
"TF","B","Index","Rep1",0.0923077051993459,0.339182006428018,0.431489711627364
"TF","B","Index","Rep2",0.122339945664862,0.0748842627217527,0.197224208386615
"TF","B","Index","Rep3",0.0351515824149828,0.10273682710249,0.137888409517473
"TF","B","Index","Rep4",0.334047881187871,0.296179461292922,0.630227342480794
"TF","B","Middle","Rep1",0.137889350298792,0.0827577721793205,0.220647122478113
"TF","B","Middle","Rep2",1.20289083570242,0.642971403431147,1.84586223913357
"TF","B","Middle","Rep3",0.0908558344235644,0.153889280045405,0.244745114468969
"TF","B","Middle","Rep4",0.0120845099445432,0.149285211227834,0.161369721172377
"TF","C","Index","Rep1",0,0.148424934013747,0.148424934013747
"TF","C","Index","Rep2",0.0524126458913088,0.0752876454498619,0.127700291341171
"TF","C","Index","Rep3",0.0539603468496352,0.111418709275313,0.165379056124948
"TF","C","Index","Rep4",0.078253768151626,0,0.078253768151626
"TF","C","Middle","Rep1",0.0139081705128774,0.0955169016378932,0.109425072150771
"TF","C","Middle","Rep2",0.117241434054449,0.438095012214035,0.555336446268484
"TF","C","Middle","Rep4",0.0578986597247422,0.707440520636737,0.76533918036148
